context_id,label,start,end,code_start,code_end
context-0_52,PLACE,0.0,0.0,-1,-1
context-0_53,LAW,0.0,0.0,-1,-1
context-1_0,ORG,8.068,8.769,232,255
context-1_0,ORG,16.196,16.997,451,473
context-1_0,QUANT,0.46,0.661,13,19
context-1_0,LAW,0.0,0.0,-1,-1
context-1_0,NORP,0.0,0.0,-1,-1
context-1_0,PLACE,0.0,0.0,-1,-1
context-1_1,ORG,0.0,0.0,-1,-1
context-1_2,PLACE,12.549,12.989,345,356
context-1_2,PLACE,8.246,8.906,224,245
context-1_2,WHEN,0.0,0.0,-1,-1
context-1_2,QUANT,0.0,0.0,-1,-1
context-1_3,WHEN,0.0,0.0,-1,-1
context-1_4,WHEN,0.0,0.0,-1,-1
context-1_5,PLACE,21.668,22.169,576,589
context-1_5,PLACE,0.56,0.82,12,16
context-1_5,WHEN,0.0,0.0,-1,-1
context-1_5,LAW,0.0,0.0,-1,-1
context-1_6,PERSON,0.0,0.0,-1,-1
context-1_7,QUANT,0.0,0.0,-1,-1
context-1_8,NORP,0.0,0.0,-1,-1
context-1_9,LAW,0.0,0.0,-1,-1
context-1_10,PLACE,13.293,13.433,386,391
context-1_10,QUANT,0.42,0.52,10,14
context-1_10,PERSON,0.0,0.0,-1,-1
context-1_10,NORP,0.0,0.0,-1,-1
context-1_11,NORP,0.0,0.0,-1,-1
context-1_12,NORP,0.0,0.0,-1,-1
context-1_13,WHEN,10.392,10.692,303,310
context-1_13,ORG,6.027,6.407,164,177
context-1_13,WHEN,4.085,4.806,107,126
context-1_13,PERSON,1.642,2.143,47,62
context-1_13,LAW,0.0,0.0,-1,-1
context-1_13,QUANT,0.0,0.0,-1,-1
context-1_13,PLACE,0.0,0.0,-1,-1
context-1_13,NORP,0.0,0.0,-1,-1
context-1_14,PERSON,0.0,0.0,-1,-1
context-1_15,WHEN,0.0,0.0,-1,-1
context-1_16,WHEN,2.064,2.565,59,69
context-1_16,NORP,0.0,0.0,-1,-1
context-1_17,WHEN,0.0,0.0,-1,-1
context-1_18,PERSON,0.0,0.0,-1,-1
context-1_19,PLACE,7.137,7.377,233,240
context-1_19,NORP,0.0,0.0,-1,-1
context-1_20,WHEN,0.12,0.843,3,25
context-1_20,ORG,0.0,0.0,-1,-1
context-1_21,QUANT,0.281,0.422,8,12
context-1_21,PLACE,0.0,0.0,-1,-1
context-1_22,ORG,2.005,2.667,53,76
context-1_22,WHEN,0.341,1.424,8,41
context-1_22,PERSON,0.0,0.0,-1,-1
context-1_22,LAW,0.0,0.0,-1,-1
context-1_23,PLACE,7.815,8.116,239,246
context-1_23,QUANT,0.0,0.0,-1,-1
context-1_24,QUANT,0.0,0.0,-1,-1
context-1_25,PLACE,0.0,0.0,-1,-1
context-1_26,NORP,0.0,0.0,-1,-1
context-1_27,PLACE,8.473,8.593,251,254
context-1_27,LAW,0.0,0.0,-1,-1
context-1_28,PLACE,2.027,2.429,65,80
context-1_28,NORP,0.0,0.0,-1,-1
context-1_29,NORP,4.893,5.334,134,145
context-1_29,PLACE,3.088,3.329,80,84
context-1_29,QUANT,0.782,1.805,24,53
context-1_29,ORG,0.0,0.0,-1,-1
context-1_29,LAW,0.0,0.0,-1,-1
context-1_29,PERSON,0.0,0.0,-1,-1
context-1_30,PLACE,0.0,0.0,-1,-1
context-1_31,PLACE,0.0,0.0,-1,-1
context-1_32,ORG,4.338,4.499,141,147
context-1_32,PLACE,1.526,2.189,48,70
context-1_32,PLACE,0.623,0.803,21,26
context-1_32,NORP,0.0,0.0,-1,-1
context-1_32,PERSON,0.0,0.0,-1,-1
context-1_32,WHEN,0.0,0.0,-1,-1
context-1_33,PLACE,5.01,5.251,163,170
context-1_33,ORG,0.0,0.0,-1,-1
context-1_34,ORG,9.337,10.379,250,284
context-1_34,PLACE,4.669,4.949,135,142
context-1_34,PLACE,4.168,4.468,124,131
context-1_34,WHEN,3.006,3.466,85,98
context-1_34,PERSON,0.0,0.0,-1,-1
context-1_34,LAW,0.0,0.0,-1,-1
context-1_34,NORP,0.0,0.0,-1,-1
context-1_34,QUANT,0.0,0.0,-1,-1
context-1_35,PLACE,6.498,6.839,187,200
context-1_35,LAW,0.0,0.0,-1,-1
context-1_36,PLACE,1.447,1.828,41,48
context-1_36,PERSON,0.0,0.0,-1,-1
context-1_37,LAW,6.898,7.439,208,225
context-1_37,PLACE,6.036,6.657,175,199
context-1_37,WHEN,0.0,0.0,-1,-1
context-1_37,QUANT,0.0,0.0,-1,-1
context-1_38,PERSON,0.0,0.0,-1,-1
context-1_39,PLACE,0.0,0.0,-1,-1
context-1_40,QUANT,0.0,0.0,-1,-1
context-1_41,ORG,0.0,0.0,-1,-1
context-1_42,LAW,0.0,0.0,-1,-1
context-1_43,ORG,11.518,12.82,315,352
context-1_43,PLACE,8.453,9.274,234,257
context-1_43,PERSON,4.347,5.188,118,147
context-1_43,NORP,0.0,0.0,-1,-1
context-1_43,WHEN,0.0,0.0,-1,-1
context-1_43,LAW,0.0,0.0,-1,-1
context-1_44,NORP,0.0,0.0,-1,-1
context-1_45,PLACE,3.796,4.559,121,147
context-1_45,LAW,0.0,0.0,-1,-1
context-1_46,QUANT,0.0,0.0,-1,-1
context-1_47,ORG,5.998,6.299,159,170
context-1_47,WHEN,0.0,0.562,-1,13
context-1_47,LAW,0.0,0.0,-1,-1
context-1_47,QUANT,0.0,0.0,-1,-1
context-1_48,WHEN,6.693,7.474,208,233
context-1_48,WHEN,4.549,5.611,133,174
context-1_48,PLACE,1.383,1.924,40,59
context-1_48,PERSON,0.0,0.0,-1,-1
context-1_48,LAW,0.0,0.0,-1,-1
context-1_48,QUANT,0.0,0.0,-1,-1
context-1_49,QUANT,6.755,8.8,168,227
context-1_49,LAW,0.0,0.0,-1,-1
context-1_50,WHEN,12.659,13.04,357,369
context-1_50,NORP,0.0,0.0,-1,-1
context-1_51,PLACE,8.615,9.416,271,299
context-1_51,PLACE,1.342,1.523,36,43
context-1_51,PERSON,0.0,0.0,-1,-1
context-1_51,NORP,0.0,0.0,-1,-1
context-1_52,ORG,12.413,13.314,339,369
context-1_52,LAW,0.0,0.0,-1,-1
context-1_53,ORG,3.367,4.73,92,131
context-1_53,WHEN,1.804,2.265,48,63
context-1_53,PERSON,0.0,0.0,-1,-1
context-1_53,LAW,0.0,0.0,-1,-1
context-2_0,QUANT,12.234,13.476,350,382
context-2_0,WHEN,9.03,10.492,264,301
context-2_0,NORP,2.122,2.783,58,81
context-2_0,LAW,0.0,0.0,-1,-1
context-2_0,PERSON,0.0,0.0,-1,-1
context-2_0,ORG,0.0,0.0,-1,-1
context-2_1,NORP,8.275,8.996,219,246
context-2_1,ORG,3.927,5.049,102,137
context-2_1,LAW,0.0,0.0,-1,-1
context-2_1,WHEN,0.0,0.0,-1,-1
context-2_2,PLACE,4.726,5.407,102,122
context-2_2,QUANT,0.0,0.0,-1,-1
context-2_3,PLACE,0.0,0.0,-1,-1
context-2_4,ORG,19.299,20.26,488,522
context-2_4,ORG,12.372,12.913,307,323
context-2_4,QUANT,0.0,0.0,-1,-1
context-2_4,NORP,0.0,0.0,-1,-1
context-2_5,QUANT,22.337,22.617,571,575
context-2_5,QUANT,21.576,21.797,555,560
context-2_5,PLACE,11.769,12.65,284,311
context-2_5,NORP,0.0,0.0,-1,-1
context-2_5,PERSON,0.0,0.0,-1,-1
context-2_5,ORG,0.0,0.0,-1,-1
context-2_6,WHEN,0.0,0.0,-1,-1
context-2_7,PLACE,0.481,1.262,11,33
context-2_7,NORP,0.0,0.0,-1,-1
context-2_8,PLACE,0.581,1.121,15,33
context-2_8,NORP,9.33,9.97,268,286
context-2_8,PERSON,4.565,5.486,133,161
context-2_8,PLACE,2.843,3.484,84,102
context-2_8,QUANT,1.522,1.602,45,47
context-2_8,PLACE,14.155,14.775,408,428
context-2_8,WHEN,0.0,0.0,-1,-1
context-2_8,ORG,0.0,0.0,-1,-1
context-2_8,LAW,0.0,0.0,-1,-1
context-2_9,PERSON,7.989,8.49,231,248
context-2_9,QUANT,3.224,3.404,101,104
context-2_9,NORP,0.0,0.0,-1,-1
context-2_9,PLACE,0.0,0.0,-1,-1
context-2_10,PLACE,13.057,13.778,389,407
context-2_10,NORP,0.0,0.0,-1,-1
context-2_11,WHEN,0.0,0.0,-1,-1
context-2_12,ORG,15.975,16.835,470,497
context-2_12,QUANT,0.0,0.0,-1,-1
context-2_13,PERSON,20.84,21.04,615,622
context-2_13,LAW,17.416,18.177,507,533
context-2_13,WHEN,12.812,13.352,377,394
context-2_13,ORG,5.045,5.465,162,174
context-2_13,ORG,3.503,3.904,115,131
context-2_13,PLACE,0.0,0.0,-1,-1
context-2_13,NORP,0.0,0.0,-1,-1
context-2_13,QUANT,0.0,0.0,-1,-1
context-2_14,PLACE,0.0,0.0,-1,-1
context-2_15,ORG,1.929,2.291,66,76
context-2_15,QUANT,0.0,0.0,-1,-1
context-2_16,PLACE,0.0,0.0,-1,-1
context-2_17,PLACE,7.054,7.555,208,222
context-2_17,PLACE,6.252,6.753,186,201
context-2_17,QUANT,0.281,0.461,8,14
context-2_17,PERSON,0.0,0.0,-1,-1
context-2_17,ORG,0.0,0.0,-1,-1
context-2_17,WHEN,0.0,0.0,-1,-1
context-2_18,ORG,6.689,7.07,193,205
context-2_18,ORG,13.739,14.04,402,413
context-2_18,LAW,2.003,2.644,63,85
context-2_18,PERSON,0.0,0.0,-1,-1
context-2_18,WHEN,0.0,0.0,-1,-1
context-2_18,NORP,0.0,0.0,-1,-1
context-2_19,WHEN,0.0,0.0,-1,-1
context-2_20,QUANT,1.427,1.648,41,47
context-2_20,PLACE,0.0,0.0,-1,-1
context-2_21,PLACE,6.57,6.991,197,207
context-2_21,NORP,0.0,0.0,-1,-1
context-2_22,PERSON,0.0,0.0,-1,-1
context-2_23,ORG,0.0,0.0,-1,-1
context-2_24,ORG,0.0,0.0,-1,-1
context-2_25,QUANT,0.0,0.0,-1,-1
context-2_26,ORG,0.0,0.0,-1,-1
context-2_27,PLACE,0.522,0.923,10,23
context-2_27,ORG,0.0,0.0,-1,-1
context-2_28,QUANT,18.197,18.497,500,511
context-2_28,PLACE,1.902,2.382,53,66
context-2_28,PLACE,1.421,1.762,38,49
context-2_28,ORG,0.0,0.0,-1,-1
context-2_28,WHEN,0.0,0.0,-1,-1
context-2_28,PERSON,0.0,0.0,-1,-1
context-2_29,LAW,0.361,0.722,13,23
context-2_29,ORG,0.0,0.0,-1,-1
context-2_30,PERSON,0.0,0.0,-1,-1
context-2_31,QUANT,7.094,7.234,175,179
context-2_31,QUANT,6.713,6.853,165,169
context-2_31,NORP,0.0,0.0,-1,-1
context-2_31,WHEN,0.0,0.0,-1,-1
context-2_32,ORG,0.0,0.0,-1,-1
context-2_33,PLACE,1.969,2.552,59,80
context-2_33,PLACE,0.201,0.844,7,26
context-2_33,ORG,0.0,0.0,-1,-1
context-2_33,PERSON,0.0,0.0,-1,-1
context-2_34,PLACE,0.24,0.621,4,16
context-2_34,NORP,0.0,0.0,-1,-1
context-2_35,PLACE,0.922,1.302,25,34
context-2_35,WHEN,0.0,0.621,-1,18
context-2_35,QUANT,0.0,0.0,-1,-1
context-2_35,NORP,0.0,0.0,-1,-1
context-2_36,WHEN,0.0,0.0,-1,-1
context-2_37,PLACE,15.727,16.247,447,453
context-2_37,PLACE,0.96,1.06,24,26
context-2_37,WHEN,0.56,0.8,13,19
context-2_37,ORG,0.0,0.0,-1,-1
context-2_37,NORP,0.0,0.0,-1,-1
context-2_37,QUANT,0.0,0.0,-1,-1
context-2_38,ORG,2.203,2.564,74,85
context-2_38,PLACE,0.0,0.0,-1,-1
context-2_39,PLACE,3.006,3.327,94,100
context-2_39,PERSON,1.804,2.345,59,74
context-2_39,NORP,0.0,0.0,-1,-1
context-2_39,WHEN,0.0,0.0,-1,-1
context-2_40,QUANT,1.906,2.147,53,59
context-2_40,QUANT,1.525,1.605,42,45
context-2_40,PERSON,0.0,0.0,-1,-1
context-2_40,PLACE,0.0,0.0,-1,-1
context-2_41,PLACE,26.679,27.22,718,734
context-2_41,NORP,22.436,22.977,598,614
context-2_41,PLACE,19.134,19.414,509,513
context-2_41,PERSON,0.0,0.0,-1,-1
context-2_41,LAW,0.0,0.0,-1,-1
context-2_41,QUANT,0.0,0.0,-1,-1
context-2_42,QUANT,0.0,0.0,-1,-1
context-2_43,PLACE,0.0,0.0,-1,-1
context-2_44,WHEN,0.0,0.0,-1,-1
context-2_45,PLACE,2.977,3.199,83,90
context-2_45,ORG,0.0,0.0,-1,-1
context-2_46,ORG,3.086,3.426,87,98
context-2_46,WHEN,0.0,0.0,-1,-1
context-2_47,PERSON,0.0,0.0,-1,-1
context-2_48,PERSON,0.0,0.0,-1,-1
context-2_49,PLACE,11.93,12.37,350,362
context-2_49,PLACE,10.929,11.45,327,340
context-2_49,PLACE,6.986,7.626,207,226
context-2_49,PLACE,9.328,9.948,279,295
context-2_49,PERSON,0.0,0.0,-1,-1
context-2_49,WHEN,0.0,0.0,-1,-1
context-2_49,NORP,0.0,0.0,-1,-1
context-2_49,LAW,0.0,0.0,-1,-1
context-2_50,PLACE,0.0,0.0,-1,-1
context-2_51,NORP,3.113,3.776,100,123
context-2_51,WHEN,0.0,0.0,-1,-1
context-2_52,QUANT,0.0,4.049,-1,101
context-2_52,QUANT,2.225,4.049,55,101
context-2_52,ORG,0.762,1.363,15,31
context-2_52,NORP,0.0,0.0,-1,-1
context-2_52,PLACE,0.0,0.0,-1,-1
context-2_52,WHEN,0.0,0.0,-1,-1
context-2_53,PLACE,6.898,7.219,181,189
context-2_53,NORP,1.744,2.466,53,74
context-2_53,QUANT,0.281,1.644,9,50
context-2_53,ORG,0.0,0.0,-1,-1
context-2_53,LAW,0.0,0.0,-1,-1
context-2_53,WHEN,0.0,0.0,-1,-1
context-3_0,PLACE,2.89,3.352,78,90
context-3_0,WHEN,0.0,0.0,-1,-1
context-3_1,WHEN,6.669,7.29,169,182
context-3_1,PLACE,5.367,5.808,147,157
context-3_1,LAW,0.0,0.0,-1,-1
context-3_1,PERSON,0.0,0.0,-1,-1
context-3_2,QUANT,8.192,9.794,233,278
context-3_2,ORG,7.15,7.531,204,215
context-3_2,NORP,2.484,3.225,70,92
context-3_2,QUANT,0.781,0.941,18,22
context-3_2,LAW,0.0,0.0,-1,-1
context-3_2,PERSON,0.0,0.0,-1,-1
context-3_2,PLACE,0.0,0.0,-1,-1
context-3_2,WHEN,0.0,0.0,-1,-1
context-3_3,NORP,0.0,0.0,-1,-1
context-3_4,PLACE,4.588,5.389,119,144
context-3_4,LAW,0.0,0.0,-1,-1
context-3_5,PLACE,19.677,20.497,476,500
context-3_5,ORG,16.474,16.934,400,409
context-3_5,QUANT,12.931,13.531,306,324
context-3_5,WHEN,9.548,10.889,215,256
context-3_5,PLACE,6.445,6.666,135,142
context-3_5,PERSON,0.0,0.0,-1,-1
context-3_5,LAW,0.0,0.0,-1,-1
context-3_5,NORP,0.0,0.0,-1,-1
context-3_6,PLACE,17.219,17.579,474,483
context-3_6,PLACE,15.717,16.238,430,446
context-3_6,PLACE,13.435,13.815,364,373
context-3_6,PLACE,9.35,9.731,259,270
context-3_6,LAW,0.0,0.0,-1,-1
context-3_6,ORG,0.0,0.0,-1,-1
context-3_6,PERSON,0.0,0.0,-1,-1
context-3_6,NORP,0.0,0.0,-1,-1
context-3_7,NORP,19.157,19.597,483,496
context-3_7,QUANT,16.395,18.617,421,469
context-3_7,QUANT,15.113,15.354,386,394
context-3_7,QUANT,14.313,14.873,359,378
context-3_7,QUANT,5.425,6.566,127,147
context-3_7,WHEN,0.02,0.781,0,21
context-3_7,PERSON,0.0,0.0,-1,-1
context-3_7,ORG,0.0,0.0,-1,-1
context-3_7,PLACE,0.0,0.0,-1,-1
context-3_7,LAW,0.0,0.0,-1,-1
context-3_8,PLACE,8.651,8.931,231,239
context-3_8,PLACE,15.139,15.48,403,413
context-3_8,PLACE,0.601,1.462,11,38
context-3_8,PERSON,0.0,0.0,-1,-1
context-3_8,WHEN,0.0,0.0,-1,-1
context-3_8,NORP,0.0,0.0,-1,-1
context-3_9,WHEN,11.156,11.797,311,328
context-3_9,PLACE,0.0,0.0,-1,-1
context-3_10,PLACE,15.799,16.179,450,461
context-3_10,ORG,0.0,0.0,-1,-1
context-3_11,PLACE,6.593,7.114,170,182
context-3_11,PLACE,6.233,6.373,161,164
context-3_11,WHEN,1.643,3.808,48,108
context-3_11,ORG,0.0,0.0,-1,-1
context-3_11,QUANT,0.0,0.0,-1,-1
context-3_11,PERSON,0.0,0.0,-1,-1
context-3_12,PLACE,9.039,9.34,251,258
context-3_12,NORP,0.0,0.0,-1,-1
context-3_13,PLACE,2.925,3.426,80,90
context-3_13,ORG,0.0,0.0,-1,-1
context-3_14,WHEN,2.382,3.924,56,87
context-3_14,LAW,0.0,0.0,-1,-1
context-3_15,LAW,0.0,0.0,-1,-1
context-3_16,WHEN,1.004,1.486,26,35
context-3_16,PERSON,0.0,0.0,-1,-1
context-3_17,LAW,6.546,9.028,167,220
context-3_17,WHEN,0.0,0.881,-1,19
context-3_17,NORP,0.0,0.0,-1,-1
context-3_17,PERSON,0.0,0.0,-1,-1
context-3_18,NORP,0.0,0.0,-1,-1
context-3_19,PLACE,6.311,6.351,156,157
context-3_19,PLACE,3.085,3.606,76,89
context-3_19,ORG,0.0,0.0,-1,-1
context-3_19,LAW,0.0,0.0,-1,-1
context-3_20,QUANT,2.323,2.483,73,80
context-3_20,QUANT,1.822,2.123,53,63
context-3_20,ORG,0.0,0.0,-1,-1
context-3_20,PERSON,0.0,0.0,-1,-1
context-3_21,QUANT,0.0,1.122,-1,33
context-3_21,QUANT,4.548,5.329,145,167
context-3_21,QUANT,0.661,1.122,21,33
context-3_21,QUANT,0.12,0.601,4,20
context-3_21,PLACE,0.0,0.0,-1,-1
context-3_21,LAW,0.0,0.0,-1,-1
context-3_21,ORG,0.0,0.0,-1,-1
context-3_21,PERSON,0.0,0.0,-1,-1
context-3_22,WHEN,2.975,3.859,101,129
context-3_22,PERSON,0.0,0.0,-1,-1
context-3_23,ORG,0.0,0.0,-1,-1
context-3_24,QUANT,1.224,1.966,32,55
context-3_24,LAW,0.0,0.0,-1,-1
context-3_25,PLACE,5.373,5.955,165,186
context-3_25,ORG,3.248,3.489,93,102
context-3_25,WHEN,0.481,0.742,13,18
context-3_25,LAW,0.0,0.0,-1,-1
context-3_25,PERSON,0.0,0.0,-1,-1
context-3_25,QUANT,0.0,0.0,-1,-1
context-3_26,PLACE,8.951,9.452,226,241
context-3_26,NORP,6.748,7.249,170,183
context-3_26,QUANT,5.206,6.248,121,158
context-3_26,NORP,3.644,3.925,80,87
context-3_26,PERSON,0.0,0.0,-1,-1
context-3_26,ORG,0.0,0.0,-1,-1
context-3_26,LAW,0.0,0.0,-1,-1
context-3_26,WHEN,0.0,0.0,-1,-1
context-3_27,NORP,1.282,1.563,38,48
context-3_27,NORP,9.638,9.919,310,318
context-3_27,PLACE,0.0,0.0,-1,-1
context-3_27,ORG,0.0,0.0,-1,-1
context-3_28,PERSON,0.0,0.0,-1,-1
context-3_29,NORP,0.362,0.623,12,19
context-3_29,PERSON,0.0,0.0,-1,-1
context-3_30,NORP,0.08,0.18,1,4
context-3_30,NORP,3.165,3.405,92,99
context-3_30,LAW,0.0,0.0,-1,-1
context-3_30,QUANT,0.0,0.0,-1,-1
context-3_31,NORP,7.767,7.967,209,212
context-3_31,WHEN,3.783,4.384,104,119
context-3_31,NORP,2.282,2.602,67,77
context-3_31,QUANT,1.922,2.242,55,66
context-3_31,PLACE,0.0,0.0,-1,-1
context-3_31,LAW,0.0,0.0,-1,-1
context-3_31,PERSON,0.0,0.0,-1,-1
context-3_31,ORG,0.0,0.0,-1,-1
context-3_32,PLACE,0.322,0.705,9,18
context-3_32,PERSON,0.0,0.0,-1,-1
context-3_33,NORP,1.748,1.929,63,67
context-3_33,ORG,0.0,0.0,-1,-1
context-3_34,PLACE,10.158,10.439,302,307
context-3_34,WHEN,0.0,0.0,-1,-1
context-3_35,NORP,0.363,0.545,11,16
context-3_35,PERSON,0.0,0.0,-1,-1
context-3_36,PLACE,2.29,2.712,69,80
context-3_36,PERSON,0.0,0.0,-1,-1
context-3_37,NORP,22.858,23.179,666,677
context-3_37,WHEN,13.871,14.552,408,426
context-3_37,NORP,12.05,12.25,356,360
context-3_37,QUANT,6.085,7.026,170,204
context-3_37,ORG,2.182,2.862,59,78
context-3_37,WHEN,0.621,0.961,15,29
context-3_37,PLACE,0.0,0.0,-1,-1
context-3_37,LAW,0.0,0.0,-1,-1
context-3_37,PERSON,0.0,0.0,-1,-1
context-3_38,NORP,1.582,1.963,45,58
context-3_38,LAW,0.0,0.0,-1,-1
context-3_39,WHEN,6.191,7.253,186,221
context-3_39,NORP,5.429,5.75,158,171
context-3_39,PLACE,3.065,3.386,88,98
context-3_39,PERSON,0.0,0.0,-1,-1
context-3_39,ORG,0.0,0.0,-1,-1
context-3_39,QUANT,0.0,0.0,-1,-1
